100, 107418322, 1, 0, 0
212, 75604441, 1, 0, 0
351, 124032505, 1, 0, 0
410, 51546533, 1, 0, 0
501, 39688076, 1, 0, 0
602, 21631930, 1, 0, 0
710, 28222800, 1, 0, 0
804, 24312633, 1, 0, 0
901, 21247854, 1, 0, 0
1008, 23596615, 1, 0, 0
1103, 27287188, 1, 0, 0
1209, 27128199, 1, 0, 0
1314, 23952327, 1, 0, 0
1417, 24875653, 1, 0, 0
1501, 30281805, 1, 0, 0
1612, 31267159, 1, 0, 0
1706, 22540095, 1, 0, 0
1801, 23987951, 1, 0, 0
1910, 25784384, 1, 0, 0
2004, 29784798, 1, 0, 0
2101, 31137107, 1, 0, 0
2206, 31844803, 1, 0, 0
2311, 26502487, 1, 0, 0
2413, 28822012, 1, 0, 0
2507, 31227894, 1, 0, 0
2607, 28537890, 1, 0, 0
2714, 30598300, 1, 0, 0
2800, 31557788, 1, 0, 0
2900, 26224471, 1, 0, 0
3010, 24761982, 1, 0, 0
3107, 31908206, 1, 0, 0
3201, 28378793, 1, 0, 0
3304, 31384661, 1, 0, 0
3406, 64876213, 1, 0, 0
3508, 97337841, 1, 0, 0
3621, 101943192, 1, 0, 0
3730, 104748572, 1, 0, 0
3833, 97567740, 1, 0, 0
3935, 93841811, 1, 0, 0
4045, 101666540, 1, 0, 0
4100, 111322725, 1, 0, 0
4210, 61259207, 1, 0, 0
4314, 32982211, 1, 0, 0
4408, 29795056, 1, 0, 0
4511, 28335349, 1, 0, 0
4623, 27209170, 1, 0, 0
4704, 32969571, 1, 0, 0
4812, 28139160, 1, 0, 0
4918, 32173910, 1, 0, 0
5006, 33289752, 1, 0, 0
5104, 29764942, 1, 0, 0
5215, 34282336, 1, 0, 0
5307, 29786191, 1, 0, 0
5407, 30859768, 1, 0, 0
5509, 32511234, 1, 0, 0
5616, 26738860, 1, 0, 0
5718, 32939911, 1, 0, 0
5814, 29592265, 1, 0, 0
5914, 31647107, 1, 0, 0
6009, 39930790, 1, 0, 0
6112, 29674305, 1, 0, 0
6204, 28956388, 1, 0, 0
6309, 37262704, 1, 0, 0
6412, 29361933, 1, 0, 0
6521, 30108775, 1, 0, 0
6601, 40377175, 1, 0, 0
6706, 27850464, 1, 0, 0
6814, 25564510, 1, 0, 0
6922, 22506177, 1, 0, 0
7002, 32788017, 1, 0, 0
7131, 60747741, 1, 0, 0
7266, 71801391, 1, 0, 0
7319, 118873746, 1, 0, 0
7452, 51233950, 1, 0, 0
7502, 72601527, 1, 0, 0
7603, 59243782, 1, 0, 0
7710, 78710639, 1, 0, 0
7822, 108997291, 1, 0, 0
7901, 44149219, 1, 0, 0
8000, 27110238, 1, 0, 0
8112, 23011692, 1, 0, 0
8211, 22666955, 1, 0, 0
8316, 23811893, 1, 0, 0
8402, 21456647, 1, 0, 0
8505, 24026691, 1, 0, 0
8600, 31228678, 1, 0, 0
8710, 32108216, 1, 0, 0
8811, 36195646, 1, 0, 0
8904, 35334907, 1, 0, 0
